what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362291980927
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362291987892
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362291989182
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362291992934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292039619
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362292041981
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292101260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292116246
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292131609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292178218
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362292189698
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292190718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292192903
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362292192913
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362292216973
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292229227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292241375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362292249297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292250195
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292252369
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362292252383
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362292279204
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362292281329
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362292383096
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292386667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292414181
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292421938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292462159
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362292462278
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362292517312
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362292528024
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292529168
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292531331
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362292531348
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362292663087
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362292738040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362292826861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292828093
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362292831264
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362292831283
