what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362335893713
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362335896509
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1362335912246
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362335913090
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362335915904
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362335919618
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362335920539
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362335926310
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362335931139
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362335932263
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362335935214
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362335939884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362335940721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.print",1362335940727
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362335941681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362335942604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362335970646
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362335972555
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362335993978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362336005673
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362336007765
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362336009963
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362336011467
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362336012435
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362336013535
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362336013751
