what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1362253847487
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1362253847589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362253847924
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362253848300
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362253848479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362253878691
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362253879316
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362253887742
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362253912116
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362253933848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362253934992
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362253945927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362253947003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362253968889
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362253979079
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362254056776
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362254061358
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362254072672
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1362254087657
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362254103984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362254114095
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362254114949
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362254132753
