what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344198891
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344198978
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344223321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344224998
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344238653
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1362344248721
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1362344250137
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344265711
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344266487
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344282695
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362344283751
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344302207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344303060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344307027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362344310347
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344313637
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344327962
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344332194
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344333091
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344335718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344336823
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344338068
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344339681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344375887
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362344378935
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1362344381471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344383411
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344384311
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344386159
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344391514
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344392678
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344395219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344396489
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344399039
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344417329
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344417858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344418924
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344429419
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344436964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344438929
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344441990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344446292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344446997
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344452187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1362344455100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344462133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344463484
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344467433
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344472479
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344473708
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344481283
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1362344482404
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344510777
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344511571
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344514816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344520859
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344521809
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1362344523317
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1362344529836
