what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1370989114782
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370989122250
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370989126719
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370989199054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1370989232691
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370989233283
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1370989252881
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370989254634
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370989257555
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370989257634
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370989257671
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1370989259844
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1370989281684
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370989291467
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370989291556
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1370989292855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370989293559
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370989294646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370989299551
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370989299638
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370989300693
