what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992075591
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992078091
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370992078106
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992082880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992103473
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992120071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992240899
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992241687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992305598
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992308255
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992326253
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992326940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992373539
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1370992373549
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1370992373887
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992381006
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992773077
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1370992778697
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1370992793669
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992794774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992836938
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1370992840616
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992841961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370992851771
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1370992858439
