what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357492981043
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.print",1357492981050
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357492981464
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1357492981658
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357492983494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357492991268
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357492999310
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357492999423
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1357493001597
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1357493002577
started,bundle,org.eclipse.wst.jsdt.core,1.1.101.v201108151912,"org.eclipse.wst.jsdt.core",1357493002690
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493002938
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493023387
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357493033146
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357493047220
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357493047275
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1357493077193
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493078325
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493085579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493101460
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493127868
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1357493128709
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357493134231
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1357493201313
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493202254
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493203354
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357493203377
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493205782
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493208358
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493214279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493217683
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357493218422
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357493230586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.saveAll",1357493247266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493248139
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493249795
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493257108
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493268399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1357493269612
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357493274858
